t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,estrategia
0,338,21,41,0.9,0.25878843377834826,1.6922835573366402,14,6,1,3,3,0.016328980648349863,0.6862796428349307,34.78998632103876,,Sin intervención
1,320,39,41,0.8975,0.2601204438947298,1.6922835573366402,20,13,6,8,8,0.08697496580259688,2.098745383833068,77.55305780127706,18.0,Sin intervención
2,299,57,44,0.8975,0.26297035110959555,1.6922835573366402,29,20,8,16,16,0.19388264450319273,3.604552965675194,124.24714647380372,18.0,Sin intervención
3,283,75,42,0.89,0.2674755900167639,1.6922835573366402,36,24,15,22,22,0.3106178661845094,5.731353398859565,147.23780587190203,18.0,Sin intervención
4,270,85,45,0.895,0.27259874355697883,1.6922835573366402,39,32,14,18,18,0.36809451467975507,5.626227924033376,187.2452723777709,10.0,Sin intervención
5,256,98,46,0.8875,0.27891850005969265,1.6922835573366402,42,38,18,22,22,0.4681131809444273,7.144005571266669,200.66223511849256,13.0,Sin intervención
6,249,104,47,0.885,0.2852899494916556,1.6922835573366402,45,40,19,15,15,0.5016555877962315,7.606684256615635,202.29752241446465,6.0,Sin intervención
7,235,115,50,0.8825,0.2913629263615281,1.6922835573366402,46,44,25,24,24,0.5057438060361616,8.086813630385938,243.90313114136205,11.0,Sin intervención
8,232,118,50,0.875,0.2983061844609449,1.6922835573366402,52,41,25,23,23,0.6097578278534053,8.531006138368781,234.09222184709247,3.0,Sin intervención
9,234,115,51,0.875,0.3046049211747096,1.6922835573366402,45,44,26,18,18,0.5852305546177313,8.062377027786974,214.01800174747018,-3.0,Sin intervención
10,229,119,52,0.8725,0.31000671539627755,1.6922835573366402,53,47,19,21,21,0.5350450043686756,7.117629264265837,215.43861766252024,4.0,Sin intervención
11,218,129,53,0.87,0.3152518151037459,1.6922835573366402,59,44,26,17,17,0.5385965441563008,8.173997583879816,228.10330362969023,10.0,Sin intervención
12,214,132,54,0.8675,0.3205202428455698,1.6922835573366402,60,48,24,20,20,0.5702582590742258,7.416528890627935,249.62011113223173,3.0,Sin intervención
13,211,131,58,0.865,0.325994522240001,1.6922835573366402,56,54,21,23,23,0.6240502778305796,7.909705150238391,251.71294562696318,-1.0,Sin intervención
