t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,topologia
0,338,21,41,0.9,0.25880389261821274,1.5400109237910788,11,8,2,2,2,0.016328980648349863,0.8445217157160247,27.83959424934757,,Small-world
1,322,39,39,0.8975,0.25983882023404836,1.5400109237910788,24,10,5,3,3,0.06959898562336893,1.9377905465061758,65.40318629369408,18.0,Small-world
2,302,57,41,0.9025,0.2622249350262901,1.5400109237910788,28,21,8,7,7,0.16350796573423515,3.8515446780730613,120.23739711250971,18.0,Small-world
3,281,78,41,0.8975,0.2664736787085626,1.5400109237910788,34,28,16,3,3,0.3005934927812741,7.391841348971856,138.72943526730955,21.0,Small-world
4,263,96,41,0.8975,0.27119338555902883,1.5400109237910788,38,37,21,7,7,0.34682358816827397,8.345789230518088,174.96805409374784,18.0,Small-world
5,252,108,40,0.8975,0.2769593572416719,1.5400109237910788,41,43,24,3,3,0.4374201352343697,8.335346232118281,172.39496677894755,12.0,Small-world
6,232,127,41,0.9,0.2825050824301461,1.5400109237910788,49,53,25,7,7,0.43098741694736914,9.886125867599233,215.70453129463544,19.0,Small-world
7,202,155,43,0.8975,0.2892034260121402,1.5400109237910788,60,64,31,8,8,0.539261328236589,12.06140280682882,257.4505937633582,28.0,Small-world
8,197,160,43,0.8925,0.2968965312906726,1.5400109237910788,59,63,38,2,2,0.6436264844083958,15.041828564580921,251.43871336931042,5.0,Small-world
9,201,155,44,0.8925,0.3042308405452691,1.5400109237910788,62,56,37,6,6,0.6285967834232763,10.752701769342751,249.2467965985626,-5.0,Small-world
10,176,178,46,0.89,0.311237724578942,1.5400109237910788,72,64,42,7,7,0.6231169914964066,10.88237289987871,303.4359999445003,23.0,Small-world
11,163,191,46,0.885,0.3195063246149777,1.5400109237910788,75,71,45,6,6,0.7585899998612509,13.142344988484062,310.7667315803313,13.0,Small-world
12,161,193,46,0.885,0.3278818885798631,1.5400109237910788,86,68,39,6,6,0.7769168289508285,12.99357501359985,305.11920912305254,2.0,Small-world
13,142,212,46,0.885,0.3357915451802619,1.5400109237910788,88,80,44,7,7,0.7627980228076313,13.801597289216993,335.05667895846835,19.0,Small-world
14,145,206,49,0.885,0.34436525569836207,1.5400109237910788,84,82,40,7,7,0.8376416973961713,13.688971705902006,322.8981648336543,-6.0,Small-world
15,144,205,51,0.8775,0.3524091526271813,1.5400109237910788,79,83,43,8,8,0.8072454120841358,14.426613445714512,338.732396323462,-1.0,Small-world
16,135,213,52,0.8725,0.3606210480545063,1.5400109237910788,81,92,40,6,6,0.8468309908086549,17.5587772369657,325.6488676323708,8.0,Small-world
17,134,214,52,0.87,0.36848812934613684,1.5400109237910788,83,87,44,7,7,0.814122169080927,18.192867939745728,360.83303393362655,1.0,Small-world
18,124,220,56,0.87,0.3768757196225978,1.5400109237910788,81,84,55,7,7,0.9020825848340661,17.843479628068255,362.98612205757064,6.0,Small-world
19,124,220,56,0.86,0.3851931443628987,1.5400109237910788,84,87,49,7,7,0.9074653051439269,18.19520561304073,351.7797117933497,0.0,Small-world
20,112,232,56,0.86,0.3930926840365159,1.5400109237910788,91,94,47,8,8,0.8794492794833744,18.36550402179794,369.30977018467604,12.0,Small-world
21,120,224,56,0.86,0.40117231062556885,1.5400109237910788,88,94,42,7,7,0.9232744254616903,19.168739719609317,350.06851035439195,-8.0,Small-world
22,110,231,59,0.86,0.40872783698558607,1.5400109237910788,91,92,48,8,8,0.8751712758859802,16.332296572401987,369.26248961706216,7.0,Small-world
23,113,227,60,0.8525,0.41647289680201366,1.5400109237910788,88,91,48,7,7,0.9231562240426561,17.199072026210438,365.5962335462363,-4.0,Small-world
24,108,231,61,0.85,0.42401081272433105,1.5400109237910788,92,94,45,8,8,0.913990583865591,16.961319020294372,372.44133245676966,4.0,Small-world
25,113,225,62,0.8475,0.4316484037842902,1.5400109237910788,84,97,44,6,6,0.931103331141925,17.82445200874253,360.8964885071203,-6.0,Small-world
26,109,227,64,0.845,0.4388660360122412,1.5400109237910788,82,97,48,7,7,0.9022412212678007,15.593302689556038,366.00572934245344,2.0,Small-world
27,102,231,67,0.84,0.44609557798273064,1.5400109237910788,87,100,44,7,7,0.9150143233561338,16.308085141758017,360.58716909824284,4.0,Small-world
28,106,225,69,0.8325,0.4530690366382241,1.5400109237910788,85,96,44,7,7,0.9014679227456074,15.805450869823998,346.17908881498477,-6.0,Small-world
29,120,206,74,0.8275,0.45971699635933105,1.5400109237910788,78,84,44,6,6,0.8654477220374619,14.01329777131758,327.590914619267,-19.0,Small-world
30,124,200,76,0.815,0.46585318715608154,1.5400109237910788,84,78,38,6,6,0.8189772865481673,14.280003252834769,314.79848865254627,-6.0,Small-world
31,119,205,76,0.81,0.4716409612483574,1.5400109237910788,85,80,40,7,7,0.7869962216313658,12.601992946859127,323.8268220313547,5.0,Small-world
32,113,208,79,0.81,0.4775273401267633,1.5400109237910788,82,79,47,7,7,0.8095670550783868,14.499980886464336,337.1403350952315,3.0,Small-world
33,108,210,82,0.8025,0.4836220237913913,1.5400109237910788,80,84,46,7,7,0.8428508377380786,13.826324778976069,342.96519618557414,2.0,Small-world
34,112,205,83,0.795,0.4896647304110647,1.5400109237910788,83,81,41,6,6,0.8574129904639354,14.655187460918873,314.7951287956276,-5.0,Small-world
35,104,210,86,0.7925,0.4952122272143612,1.5400109237910788,78,88,44,6,6,0.7869878219890686,15.882754295538737,334.2778886676797,5.0,Small-world
36,108,202,90,0.785,0.5009063937074142,1.5400109237910788,79,82,41,7,7,0.8356947216691991,15.265021110107462,328.7448346938718,-8.0,Small-world
37,91,217,92,0.775,0.5064010033814296,1.5400109237910788,83,88,46,8,8,0.8218620867346792,14.122511511992501,352.4920568531111,15.0,Small-world
38,85,222,93,0.77,0.5122952090010858,1.5400109237910788,83,93,46,8,8,0.8812301421327775,13.674079213441702,366.3896055188836,5.0,Small-world
39,89,218,93,0.7675,0.5183168555652042,1.5400109237910788,80,96,42,8,8,0.9159740137972094,15.280718562249403,353.3965292971339,-4.0,Small-world
40,93,213,94,0.7675,0.5240923657404188,1.5400109237910788,80,90,43,8,8,0.883491323242835,15.77233682279031,346.9531123667467,-5.0,Small-world
41,89,213,98,0.765,0.5295746834581372,1.5400109237910788,80,87,46,7,7,0.867382780916867,17.19101713146158,351.607447162068,0.0,Small-world
42,89,213,98,0.755,0.5350770230342323,1.5400109237910788,80,85,48,8,8,0.8790186179051704,16.942596716573078,358.8591854640593,0.0,Small-world
43,83,218,99,0.755,0.540569026236707,1.5400109237910788,81,87,50,7,7,0.8971479636601487,16.831744494013314,368.89714659629294,5.0,Small-world
44,78,221,101,0.7525,0.5461750850919453,1.5400109237910788,77,92,52,6,6,0.922242866490733,16.173648842919466,358.39709957430966,3.0,Small-world
45,80,213,107,0.7475,0.5516641770620655,1.5400109237910788,77,86,50,7,7,0.895992748935774,16.41361940613426,347.51807188005995,-8.0,Small-world
46,84,207,109,0.7325,0.5568407304444368,1.5400109237910788,77,84,46,6,6,0.86879517970015,14.139679488033618,329.42386301937233,-6.0,Small-world
47,79,209,112,0.7275,0.5617800916945532,1.5400109237910788,73,90,46,4,4,0.8235596575484307,13.945213253246754,328.33606113259515,2.0,Small-world
48,79,208,113,0.72,0.5666181196546625,1.5400109237910788,73,86,49,6,6,0.8208401528314879,13.734211436158288,331.45269285253687,-1.0,Small-world
49,79,204,117,0.7175,0.5714103415642271,1.5400109237910788,73,82,49,6,6,0.8286317321313422,14.121213272073067,322.20511808330156,-4.0,Small-world
50,81,200,119,0.7075,0.575998876448458,1.5400109237910788,73,81,46,6,6,0.805512795208254,14.110698982203575,319.07051866642144,-4.0,Small-world
51,75,202,123,0.7025,0.5804019659029476,1.5400109237910788,74,79,49,6,6,0.7976762966660536,14.101328993262802,317.6473465060551,2.0,Small-world
52,72,204,124,0.6925,0.5847148422917329,1.5400109237910788,76,77,51,5,5,0.7941183662651378,14.795735116252734,320.5400802875009,2.0,Small-world
53,82,190,128,0.69,0.5890011836045184,1.5400109237910788,73,70,47,6,6,0.8013502007187523,15.396405233636436,308.14846242702464,-14.0,Small-world
54,86,181,133,0.68,0.5930626912358785,1.5400109237910788,70,69,42,3,3,0.7703711560675615,14.062872450783905,288.92879671388624,-9.0,Small-world
55,85,179,136,0.6675,0.5967990630351204,1.5400109237910788,65,72,42,5,5,0.7223219917847156,12.706498496025892,283.3869235611996,-2.0,Small-world
56,79,184,137,0.66,0.6004230263509549,1.5400109237910788,63,74,47,5,5,0.7084673089029992,11.53979779957026,294.16688663188467,5.0,Small-world
57,83,178,139,0.6575,0.6041224717851864,1.5400109237910788,61,70,47,5,5,0.7354172165797115,13.106716401313443,282.4507876883379,-6.0,Small-world
58,82,178,140,0.6525,0.6077450507931325,1.5400109237910788,61,70,47,5,5,0.7061269692208448,11.90414337657266,293.36575838799484,0.0,Small-world
59,84,175,141,0.65,0.611365955796996,1.5400109237910788,65,67,43,6,6,0.7334143959699869,14.056639671606703,286.49347821949453,-3.0,Small-world
60,80,176,144,0.6475,0.6149292050363908,1.5400109237910788,67,68,41,5,5,0.7162336955487363,12.683501854015857,274.6110444277978,1.0,Small-world
61,78,174,148,0.64,0.6183334819582975,1.5400109237910788,66,69,39,6,6,0.6865276110694947,11.805232945940418,280.21478642629785,-2.0,Small-world
62,74,176,150,0.63,0.6217769487655874,1.5400109237910788,69,70,37,6,6,0.7005369660657447,11.762051139635252,286.8016289509274,2.0,Small-world
63,80,170,150,0.625,0.6252057768214366,1.5400109237910788,66,68,36,6,6,0.7170040723773187,12.391899561985877,278.9506761897365,-6.0,Small-world
64,70,177,153,0.625,0.6284912940187699,1.5400109237910788,67,70,40,6,6,0.6973766904743417,11.975236793299267,290.5701180102854,7.0,Small-world
65,73,172,155,0.6175,0.6318811858831905,1.5400109237910788,67,67,38,6,6,0.7264252950257135,12.54677660512309,283.3847404903683,-5.0,Small-world
66,68,173,159,0.6125,0.6351019514539464,1.5400109237910788,66,65,42,5,5,0.7084618512259208,11.848776583014297,286.59075013210344,1.0,Small-world
