t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad
0,376,19,0,1.0,0.5566520561467386,1.2501118580619672
1,355,40,0,1.0,0.5569153175446213,1.2501118580619672
2,318,77,0,1.0,0.5574674563183372,1.2501118580619672
3,285,110,0,1.0,0.5585227629313794,1.2501118580619672
4,275,120,0,1.0,0.5600109065374944,1.2501118580619672
5,249,146,0,1.0,0.5616037608032437,1.2501118580619672
6,240,155,0,1.0,0.5635042269619029,1.2501118580619672
7,224,171,0,1.0,0.5654760060137801,1.2501118580619672
8,213,182,0,1.0,0.5675982673915689,1.2501118580619672
9,189,206,0,1.0,0.5697973512393751,1.2501118580619672
10,183,212,0,1.0,0.572217814706752,1.2501118580619672
11,171,224,0,1.0,0.5746345894450909,1.2501118580619672
12,163,232,0,1.0,0.5771069985108676,1.2501118580619672
13,160,235,0,1.0,0.5795853276823246,1.2501118580619672
14,158,237,0,1.0,0.582020921137524,1.2501118580619672
15,161,234,0,1.0,0.5844002584067475,1.2501118580619672
16,148,247,0,1.0,0.586683825877993,1.2501118580619672
17,136,259,0,1.0,0.5890131400639373,1.2501118580619672
18,136,259,0,1.0,0.5913876758187894,1.2501118580619672
19,126,269,0,1.0,0.5936917160022446,1.2501118580619672
20,115,280,0,1.0,0.5960400399008237,1.2501118580619672
21,118,277,0,1.0,0.5984087087031881,1.2501118580619672
22,121,274,0,1.0,0.6006847262641388,1.2501118580619672
23,121,274,0,1.0,0.602873217006734,1.2501118580619672
24,125,270,0,1.0,0.605011027984702,1.2501118580619672
25,141,254,0,1.0,0.6070593492979816,1.2501118580619672
26,134,261,0,1.0,0.6089309343641538,1.2501118580619672
27,120,275,0,1.0,0.6108184521320016,1.2501118580619672
28,109,286,0,1.0,0.6127634663586654,1.2501118580619672
29,111,284,0,1.0,0.6147376966537866,1.2501118580619672
30,112,283,0,1.0,0.6166545957939495,1.2501118580619672
31,120,275,0,1.0,0.6185270152932745,1.2501118580619672
32,126,269,0,1.0,0.6203037154025525,1.2501118580619672
33,126,269,0,1.0,0.622009567972949,1.2501118580619672
34,134,261,0,1.0,0.6236852328250321,1.2501118580619672
35,135,260,0,1.0,0.6252763795542073,1.2501118580619672
36,140,255,0,1.0,0.6268341694131834,1.2501118580619672
37,131,264,0,1.0,0.6283463119952181,1.2501118580619672
38,127,268,0,1.0,0.6298857331855129,1.2501118580619672
39,126,269,0,1.0,0.6314244591679907,1.2501118580619672
40,118,277,0,1.0,0.6329496100158262,1.2501118580619672
41,120,275,0,1.0,0.6344959860948763,1.2501118580619672
42,120,275,0,1.0,0.6360202784633359,1.2501118580619672
43,103,292,0,1.0,0.6375317823602153,1.2501118580619672
44,100,295,0,1.0,0.6391185114615648,1.2501118580619672
45,110,285,0,1.0,0.6406994592395435,1.2501118580619672
46,112,283,0,1.0,0.6422025457290224,1.2501118580619672
47,119,276,0,1.0,0.6436713496800428,1.2501118580619672
48,126,269,0,1.0,0.6451022961661298,1.2501118580619672
49,114,281,0,1.0,0.6465065034708323,1.2501118580619672
